trial,timestamp_utc,proto,up_to_complete_s,eapol_frames_found,mic_verification,msg2_mic_valid,msg3_mic_valid,msg4_mic_valid,result,error,pcap_path
52,2026-06-28T06:13:53Z,wpa2,15.447,4,performed,True,True,True,success,,
53,2026-06-28T06:14:30Z,wpa2,15.460,4,performed,True,True,True,success,,
54,2026-06-28T06:15:07Z,wpa2,15.435,4,performed,True,True,True,success,,
55,2026-06-28T06:15:44Z,wpa2,15.482,4,performed,True,True,True,success,,
56,2026-06-28T06:16:22Z,wpa2,15.457,4,performed,True,True,True,success,,
57,2026-06-28T06:16:59Z,wpa2,15.462,4,performed,True,True,True,success,,
58,2026-06-28T06:17:36Z,wpa2,15.449,4,performed,True,True,True,success,,
59,2026-06-28T06:18:13Z,wpa2,15.619,4,performed,True,True,True,success,,
60,2026-06-28T06:18:51Z,wpa2,15.509,4,performed,True,True,True,success,,
61,2026-06-28T06:19:28Z,wpa2,15.636,4,performed,True,True,True,success,,
62,2026-06-28T06:20:06Z,wpa2,15.994,4,performed,True,True,True,success,,
63,2026-06-28T06:20:44Z,wpa2,15.504,4,performed,True,True,True,success,,
64,2026-06-28T06:21:21Z,wpa2,15.749,0,performed,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa2/trial_064_20260628_062158.pcap
65,2026-06-28T06:21:58Z,wpa2,15.488,4,performed,True,True,True,success,,
66,2026-06-28T06:22:36Z,wpa2,15.493,4,performed,True,True,True,success,,
67,2026-06-28T06:23:13Z,wpa2,15.499,4,performed,True,True,True,success,,
68,2026-06-28T06:23:50Z,wpa2,15.452,4,performed,True,True,True,success,,
69,2026-06-28T06:24:28Z,wpa2,15.485,4,performed,True,True,True,success,,
70,2026-06-28T06:25:05Z,wpa2,15.475,4,performed,True,True,True,success,,
71,2026-06-28T06:25:42Z,wpa2,15.475,4,performed,True,True,True,success,,
72,2026-06-28T06:26:19Z,wpa2,15.508,4,performed,True,True,True,success,,
73,2026-06-28T06:26:57Z,wpa2,15.462,4,performed,True,True,True,success,,
74,2026-06-28T06:27:34Z,wpa2,15.482,4,performed,True,True,True,success,,
75,2026-06-28T06:28:11Z,wpa2,15.444,4,performed,True,True,True,success,,
76,2026-06-28T06:28:48Z,wpa2,15.475,4,performed,True,True,True,success,,
77,2026-06-28T06:29:26Z,wpa2,15.443,0,performed,,,,timeout,handshake did not complete within 15s,/home/mughees/Downloads/wpa2-krack-lab/harness/results/failures/handshake/wpa2/trial_077_20260628_063003.pcap
78,2026-06-28T06:30:03Z,wpa2,15.480,4,performed,True,True,True,success,,
79,2026-06-28T06:30:40Z,wpa2,15.451,4,performed,True,True,True,success,,
80,2026-06-28T06:31:17Z,wpa2,15.484,4,performed,True,True,True,success,,
81,2026-06-28T06:31:55Z,wpa2,15.479,4,performed,True,True,True,success,,
82,2026-06-28T06:32:32Z,wpa2,15.474,4,performed,True,True,True,success,,
83,2026-06-28T06:33:09Z,wpa2,15.809,4,performed,True,True,True,success,,
84,2026-06-28T06:33:47Z,wpa2,15.467,4,performed,True,True,True,success,,
85,2026-06-28T06:34:24Z,wpa2,15.487,4,performed,True,True,True,success,,
86,2026-06-28T06:35:02Z,wpa2,15.550,4,performed,True,True,True,success,,
87,2026-06-28T06:35:39Z,wpa2,15.539,4,performed,True,True,True,success,,
88,2026-06-28T06:36:17Z,wpa2,15.667,4,performed,True,True,True,success,,
89,2026-06-28T06:36:54Z,wpa2,15.528,4,performed,True,True,True,success,,
90,2026-06-28T06:37:32Z,wpa2,15.512,4,performed,True,True,True,success,,
91,2026-06-28T06:38:09Z,wpa2,15.477,4,performed,True,True,True,success,,
92,2026-06-28T06:38:46Z,wpa2,15.485,4,performed,True,True,True,success,,
93,2026-06-28T06:39:24Z,wpa2,15.535,4,performed,True,True,True,success,,
94,2026-06-28T06:40:01Z,wpa2,15.456,4,performed,True,True,True,success,,
95,2026-06-28T06:40:38Z,wpa2,15.482,4,performed,True,True,True,success,,
96,2026-06-28T06:41:16Z,wpa2,15.461,4,performed,True,True,True,success,,
97,2026-06-28T06:41:53Z,wpa2,15.472,4,performed,True,True,True,success,,
98,2026-06-28T06:42:30Z,wpa2,15.505,4,performed,True,True,True,success,,
99,2026-06-28T06:43:08Z,wpa2,15.480,4,performed,True,True,True,success,,
100,2026-06-28T06:43:45Z,wpa2,15.487,4,performed,True,True,True,success,,

