trial,timestamp_utc,proto,up_to_complete_s,eapol_frames_found,mic_verification,msg2_mic_valid,msg3_mic_valid,msg4_mic_valid,result,error,pcap_path
1,2026-06-28T05:42:00Z,wpa2,16.914,4,performed,True,True,True,success,,
2,2026-06-28T05:42:39Z,wpa2,16.497,4,performed,True,True,True,success,,
3,2026-06-28T05:43:19Z,wpa2,16.096,4,performed,True,True,True,success,,
4,2026-06-28T05:43:58Z,wpa2,16.784,4,performed,True,True,True,success,,
5,2026-06-28T05:44:37Z,wpa2,16.666,4,performed,True,True,True,success,,
6,2026-06-28T05:45:16Z,wpa2,16.344,4,performed,True,True,True,success,,
7,2026-06-28T05:45:55Z,wpa2,15.508,4,performed,True,True,True,success,,
8,2026-06-28T05:46:32Z,wpa2,15.469,4,performed,True,True,True,success,,
9,2026-06-28T05:47:10Z,wpa2,15.492,4,performed,True,True,True,success,,
10,2026-06-28T05:47:47Z,wpa2,15.450,4,performed,True,True,True,success,,
11,2026-06-28T05:48:24Z,wpa2,15.512,4,performed,True,True,True,success,,
12,2026-06-28T05:49:01Z,wpa2,15.473,4,performed,True,True,True,success,,
13,2026-06-28T05:49:39Z,wpa2,15.477,4,performed,True,True,True,success,,
14,2026-06-28T05:50:16Z,wpa2,15.462,4,performed,True,True,True,success,,
15,2026-06-28T05:50:53Z,wpa2,15.634,4,performed,True,True,True,success,,
16,2026-06-28T05:51:31Z,wpa2,15.488,4,performed,True,True,True,success,,
17,2026-06-28T05:52:08Z,wpa2,15.451,4,performed,True,True,True,success,,
18,2026-06-28T05:52:45Z,wpa2,15.455,4,performed,True,True,True,success,,
19,2026-06-28T05:53:22Z,wpa2,15.471,4,performed,True,True,True,success,,
20,2026-06-28T05:54:00Z,wpa2,15.504,4,performed,True,True,True,success,,
21,2026-06-28T05:54:37Z,wpa2,15.464,4,performed,True,True,True,success,,
22,2026-06-28T05:55:14Z,wpa2,15.470,4,performed,True,True,True,success,,
23,2026-06-28T05:55:51Z,wpa2,15.485,4,performed,True,True,True,success,,
24,2026-06-28T05:56:29Z,wpa2,15.466,4,performed,True,True,True,success,,
25,2026-06-28T05:57:06Z,wpa2,15.494,4,performed,True,True,True,success,,
26,2026-06-28T05:57:43Z,wpa2,15.493,4,performed,True,True,True,success,,
27,2026-06-28T05:58:20Z,wpa2,15.463,4,performed,True,True,True,success,,
28,2026-06-28T05:58:58Z,wpa2,15.533,4,performed,True,True,True,success,,
29,2026-06-28T05:59:35Z,wpa2,15.481,4,performed,True,True,True,success,,
30,2026-06-28T06:00:12Z,wpa2,15.476,4,performed,True,True,True,success,,
31,2026-06-28T06:00:50Z,wpa2,15.513,4,performed,True,True,True,success,,
32,2026-06-28T06:01:27Z,wpa2,15.510,4,performed,True,True,True,success,,
33,2026-06-28T06:02:04Z,wpa2,15.517,4,performed,True,True,True,success,,
34,2026-06-28T06:02:42Z,wpa2,15.492,4,performed,True,True,True,success,,
35,2026-06-28T06:03:19Z,wpa2,15.477,4,performed,True,True,True,success,,
36,2026-06-28T06:03:56Z,wpa2,15.479,4,performed,True,True,True,success,,
37,2026-06-28T06:04:33Z,wpa2,15.493,4,performed,True,True,True,success,,
38,2026-06-28T06:05:11Z,wpa2,15.518,4,performed,True,True,True,success,,
39,2026-06-28T06:05:48Z,wpa2,15.465,4,performed,True,True,True,success,,
40,2026-06-28T06:06:25Z,wpa2,15.534,4,performed,True,True,True,success,,
41,2026-06-28T06:07:03Z,wpa2,15.504,4,performed,True,True,True,success,,
42,2026-06-28T06:07:40Z,wpa2,15.474,4,performed,True,True,True,success,,
43,2026-06-28T06:08:17Z,wpa2,15.473,4,performed,True,True,True,success,,
44,2026-06-28T06:08:55Z,wpa2,15.448,4,performed,True,True,True,success,,
45,2026-06-28T06:09:32Z,wpa2,15.474,4,performed,True,True,True,success,,
46,2026-06-28T06:10:09Z,wpa2,15.487,4,performed,True,True,True,success,,
47,2026-06-28T06:10:46Z,wpa2,15.454,4,performed,True,True,True,success,,
48,2026-06-28T06:11:24Z,wpa2,15.523,4,performed,True,True,True,success,,
49,2026-06-28T06:12:01Z,wpa2,15.462,4,performed,True,True,True,success,,
50,2026-06-28T06:12:38Z,wpa2,15.463,4,performed,True,True,True,success,,
51,2026-06-28T06:13:15Z,wpa2,15.493,4,performed,True,True,True,success,,
